snagid,site,plotid,group,crown,xc,yc,z_m,spp,dbh,ht,top,bark,branches,fungi,intensity,forage,insects,cavsum
BR212X_DF04,cda,BR212X,LB,NO,535490.2364,5282479.867,1334.67,DF,0.44,5.7,BT,SOME,N,N,S,Y,Y,0
BR212X_GF01,cda,BR212X,SB,YES,535508.7474,5282459.085,1334.67,GF,0.39,5.12,BT,FULL,M,N,L,Y,Y,0
BR212X_GF03,cda,BR212X,LB,NO,535494.4094,5282472.335,1339.76,GF,0.43,19.66,BT,SOME,C,N,S,Y,Y,0
BR212X_GF04,cda,BR212X,LB,YES,535489.8921,5282487.089,1347.88,GF,0.74,15.33,BT,FULL,M,Y,L,Y,Y,7
BR212X_WL01,cda,BR212X,LI,NO,535505.5858,5282460.733,1340.68,WL,0.44,NA,INTACT,FULL,N,N,L,N,N,0
BR212X_WP01,cda,BR212X,LI,YES,535516.5449,5282460.133,1338.02,WP,0.44,29.6,INTACT,FULL,F,Y,N,Y,Y,0
BR21X2_AS01,cda,BR21X2,SB,NO,535903.1122,5282767.931,1334.2,AS,0.31,14.8,BT,SOME,C,N,S,N,N,0
BR21X2_AS02,cda,BR21X2,SI,NO,535906.0406,5282779.73,1335.47,AS,0.38,28.2,INTACT,SOME,N,N,S,N,Y,0
BR21X2_GF01,cda,BR21X2,SB,YES,535911.7546,5282777.876,1336.88,GF,0.35,36.2,BT,FULL,V,N,H,N,N,0
BR21X2_GF03,cda,BR21X2,LB,NO,535931.4861,5282766.106,1346.71,GF,0.45,14.4,BT,SOME,N,N,S,Y,Y,0
BR21X2_GF04,cda,BR21X2,LI,YES,535917.5285,5282778.467,1342.56,GF,0.55,36.4,INTACT,FULL,F,Y,S,Y,Y,0
BR21X2_GF09,cda,BR21X2,SB,NO,535929.8682,5282748.646,1338.55,GF,0.22,1.9,BT,FULL,N,Y,L,Y,Y,0
BR21X2_GF12,cda,BR21X2,SB,NO,535926.3507,5282747.179,1341.57,GF,0.34,3.5,BT,SOME,N,N,S,Y,Y,1
BR21X2_GF15,cda,BR21X2,LB,NO,535923.9717,5282743.608,1336.29,GF,0.42,5.1,BT,FULL,N,N,S,Y,Y,0
BR21X2_GF16,cda,BR21X2,LI,YES,535918.2077,5282765.69,1339.64,GF,0.49,31.8,INTACT,FULL,M,Y,L,Y,Y,0
BR21X2_GF17,cda,BR21X2,LI,YES,535913.5172,5282759.77,1337.94,GF,0.46,29.4,INTACT,FULL,V,Y,S,Y,Y,0
BR21X2_GF19,cda,BR21X2,SI,YES,535906.7157,5282767.62,1335.17,GF,0.26,21.6,INTACT,FULL,F,N,S,N,N,0
BR21X2_GF20,cda,BR21X2,LI,YES,535903.9988,5282770.159,1340.36,GF,0.51,32.7,INTACT,FULL,F,Y,S,N,Y,0
BR21X2_GF21,cda,BR21X2,LI,YES,535904.1571,5282768.826,1337.37,GF,0.51,37.4,INTACT,FULL,F,Y,S,N,Y,0
BR21X2_UN01,cda,BR21X2,SB,NO,535902.2638,5282747.364,1332.74,UN,0.35,14.3,BT,SOME,C,N,S,Y,Y,0
BR21X4_DF01,cda,BR21X4,LI,YES,530096.105,5292134.924,1155.22,DF,0.64,NA,INTACT,FULL,F,N,S,Y,Y,0
BR21X4_DF02,cda,BR21X4,LB,NO,530090.5917,5292129.116,1151.55,DF,0.59,NA,BT,FULL,C,Y,L,Y,Y,1
BR21X4_DF03,cda,BR21X4,SB,NO,530096.0464,5292117.363,1156.94,DF,0.39,1.85,BT,SOME,N,Y,N,Y,Y,1
BR21X4_DF05,cda,BR21X4,SB,NO,530094.0372,5292100.348,1156.66,DF,0.31,1.39,BT,SOME,N,Y,L,Y,Y,0
BR21X4_GF01,cda,BR21X4,LI,YES,530101.1018,5292095.939,1155.79,GF,0.68,NA,INTACT,FULL,V,Y,S,N,Y,0
